match_id,side,team,stat,value
1267474227,away,Ivory Coast,Passes Opposition Half,211
1267474227,away,Ivory Coast,Successful Long Passes,28
1267474227,away,Ivory Coast,Long Passes,57
1267474227,away,Ivory Coast,Throw-Ins,24
1267474227,away,Ivory Coast,Key Passes,6
1267474227,away,Ivory Coast,Passes Into Final Third,68
1267474227,away,Ivory Coast,Backward Passes,71
1267474227,away,Ivory Coast,Goal Kicks,7
1267474227,away,Ivory Coast,Interceptions,13
1267474227,away,Ivory Coast,Successful Tackles,11
1267474227,away,Ivory Coast,Tackles,20
1267474227,away,Ivory Coast,Clearances,26
1267474227,away,Ivory Coast,Successful Aerial Duels,10
1267474227,away,Ivory Coast,Aerial Duels,20
1267474227,away,Ivory Coast,Successful Dribbles,20
1267474227,away,Ivory Coast,Dribbles,33
1267474227,away,Ivory Coast,Shots accuracy,0.22
1267474227,away,Ivory Coast,Failed passes,64
1267474227,away,Ivory Coast,Possession,0.4
1267474227,away,Ivory Coast,Shots on target,2
1267474227,away,Ivory Coast,Corners,3
1267474227,away,Ivory Coast,Offsides,1
1267474227,away,Ivory Coast,Successful passes,367
1267474227,away,Ivory Coast,Red cards,0
1267474227,away,Ivory Coast,Shots off target,2
1267474227,away,Ivory Coast,Blocked shots,5
1267474227,away,Ivory Coast,Shots within penalty area,6
1267474227,away,Ivory Coast,Total passes,431
1267474227,away,Ivory Coast,Goalkeeper saves,5
1267474227,away,Ivory Coast,Fouls,7
1267474227,away,Ivory Coast,Yellow cards,0
1267474227,away,Ivory Coast,Shots outside penalty area,3
1309695741,home,Netherlands,Expected Goals,2.61
1309695741,home,Netherlands,Big Chances Created,3
1309695741,home,Netherlands,Attacks,104
1309695741,home,Netherlands,Free Kicks,11
1309695741,home,Netherlands,Expected Assists,1.43
1309695741,home,Netherlands,Successful Crosses,3
1309695741,home,Netherlands,Crosses,16
1309695741,home,Netherlands,Passes Own Half,216
1309695741,home,Netherlands,Passes Opposition Half,249
1309695741,home,Netherlands,Successful Long Passes,18
1309695741,home,Netherlands,Long Passes,35
1309695741,home,Netherlands,Throw-Ins,13
1309695741,home,Netherlands,Key Passes,9
1309695741,home,Netherlands,Passes Into Final Third,75
1309695741,home,Netherlands,Backward Passes,70
1309695741,home,Netherlands,Goal Kicks,11
1309695741,home,Netherlands,Interceptions,8
1309695741,home,Netherlands,Successful Tackles,8
1309695741,home,Netherlands,Tackles,15
1309695741,home,Netherlands,Clearances,24
1309695741,home,Netherlands,Successful Aerial Duels,14
1309695741,home,Netherlands,Aerial Duels,27
